दहावी	दहावी
अकरावी	अकरावी
बारावी	बारावी
तेरावी	तेरावी
चौदावी	चौदावी
पंधरावी	पंधरावी
सोळावी	सोळावी
सतरावी	सतरावी
अठरावी	अठरावी
एकोणीसावी	एकोणीसवी
विसावी	वीसवी
एकविसावी	एकवीसवी
बाविसावी	बावीसवी
तेविसावी	तेवीसवी
चोविसावी	चोवीसवी
पंचविसावी	पंचवीसवी
सव्विसावी	सव्वीसवी
सत्ताविसावी	सत्तावीसवी
अठ्ठाविसावी	अठ्ठावीसवी
एकोणतीसावी	एकोणतीसवी
तीसावी	तीसवी
एकतीसावी	एकतीसवी
बत्तीसावी	बत्तीसवी
तेहतीसावी	तेहतीसवी
चौतीसावी	चौतीसवी
पस्तीसावी	पस्तीसवी
छत्तीसावी	छत्तीसवी
सदतीसावी	सदतीसवी
अडतीसावी	अडतीसवी
एकोणचाळीसावी	एकोणचाळीसवी
चाळीसावी	चाळीसवी
पन्नासावी	पन्नासवी
साठावी	साठवी
सत्तरावी	सत्तरवी
ऐंशीवी	ऐंशीवी
नव्वदावी	नव्वदवी
